 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Cons.Res.ForaÁreaCons.<1 anoCons.1a4anosCons.5a9anosCons.10a14anosCons.15a19anosCons.20a39anosCons.40a49anosCons.50a59anosCons.60 e maisAtend.PuericulturaAtend.Pré-NatalAtend Prev-citologAtend.DST/AIDSAtend.DiabetesAtend.Hiper.Arter.Atend.HanseníaseAtend.TuberculoseEx.Patologia Clín.Ex.RadiodiagnósticEx.CitopatológicoEx.UltrassonografEx.OutrosEncam.Atend.Espec.Encam.Int.HospitalEncam.Urg./EmergIntern.DomiciliarAtend.Espec.AcTrabVis.Insp.SanitáriaAtend.Indiv.EnfermAtend.Ind.Prof.NS.CurativosInalaçõesInjeçõesRetirada de pontosTerap.Reid.OralSuturaAtend.GrupoProc.Coletiv(PC1)ReuniõesVisita MédicoVisita Enferm.Vis Outr.Prof.NS.Vis Prof.Niv.MédioValvul.Reum.5-14a.AVCInfartoDHEG(Forma Grave)DoençaHemol.Perin.FraturaColoFêmurMening.TuberculosaHans.Grau II e IIICit.Oncot NIC IIIPneum. <5 anos por Município
Período:2009-2011
"Município";"Cons.Res.ForaÁrea";"Cons.<1_ano";"Cons.1a4anos";"Cons.5a9anos";"Cons.10a14anos";"Cons.15a19anos";"Cons.20a39anos";"Cons.40a49anos";"Cons.50a59anos";"Cons.60_e_mais";"Atend.Puericultura";"Atend.Pré-Natal";"Atend_Prev-citolog";"Atend.DST/AIDS";"Atend.Diabetes";"Atend.Hiper.Arter.";"Atend.Hanseníase";"Atend.Tuberculose";"Ex.Patologia_Clín.";"Ex.Radiodiagnóstic";"Ex.Citopatológico";"Ex.Ultrassonograf";"Ex.Outros";"Encam.Atend.Espec.";"Encam.Int.Hospital";"Encam.Urg./Emerg";"Intern.Domiciliar";"Atend.Espec.AcTrab";"Vis.Insp.Sanitária";"Atend.Indiv.Enferm";"Atend.Ind.Prof.NS.";"Curativos";"Inalações";"Injeções";"Retirada_de_pontos";"Terap.Reid.Oral";"Sutura";"Atend.Grupo";"Proc.Coletiv(PC1)";"Reuniões";"Visita_Médico";"Visita_Enferm.";"Vis_Outr.Prof.NS.";"Vis_Prof.Niv.Médio";"Valvul.Reum.5-14a.";"AVC";"Infarto";"DHEG(Forma_Grave)";"DoençaHemol.Perin.";"FraturaColoFêmur";"Mening.Tuberculosa";"Hans.Grau_II_e_III";"Cit.Oncot_NIC_III";"Pneum._<5_anos"
"110001 Alta Floresta D'Oeste";-;742;1273;1421;1551;2148;4861;3684;3053;2592;347;1760;2075;40;564;1735;183;59;3269;292;1167;870;1404;754;5;-;-;-;-;5666;25376;1404;607;1155;290;3;223;153;856;105;21330;5719;943;23787;-;-;-;-;-;-;-;-;-;-
"110037 Alto Alegre dos Parecis";73;893;1672;1979;1721;2106;6497;3199;3014;2662;1753;125313;4762;546;2669;13894;831;67;293;259;1627;2378;754;681;559;517;379;11;28;21324;3394;3952;1667;11302;569;377;366;2172;65769;102;5031;5327;1239;6554;-;1;3;-;-;5;-;13;2;-
"110040 Alto Paraíso";-;280;5146;4174;3706;4956;15809;7130;6828;9196;732;3935;1405;98;1071;4173;331;90;453;9;236;252;372;59;5;9;-;172;148;9761;114;-;-;-;-;-;-;25;9;81;4;8;-;4;-;-;-;-;-;-;-;-;-;-
"110034 Alvorada D'Oeste";214;2480;2963;3846;3688;3927;10989;151665;129181;5491;1381;1508;1132;216;2898;5435;54;25;23537;944;1235;1455;14562;518;264;44;920;26;1443;15377;9068;6017;3964;11352;2015;2678;926;849;27;245;1324;1324;621;1272;-;-;-;-;-;-;-;-;-;-
"110002 Ariquemes";11654;2836;8167;9276;11783;16071;52568;41695;28895;40331;23567;22614;18244;3722;11186;48007;4264;1464;54866;7979;3865;3699;7409;9218;206;377;116;1959;18922;112339;32360;56862;24453;72101;13903;4226;342;6882;17393;1305;2704;3245;1084;5329;30;59;7;6;-;16;-;1;2;4
"110045 Buritis";6749;4289;7358;8258;8436;11604;20005;13100;11562;9522;3536;9237;6936;1764;2979;6875;746;94;21168;6430;5700;7897;8782;531;46;46;3;38;276;4191;2451;1962;214;1003;374;140;2;64;192;83;504;917;417;1630;2;2;1;-;-;-;-;-;-;2
"110003 Cabixi";33;500;1411;1232;1116;1257;4386;1935;1611;2735;138;1177;624;7;681;3939;92;16;-;-;113;117;1299;47;51;24;-;-;11;59;69;1059;496;2279;195;37;81;261;5;122;109;1031;35;210;-;2;6;1;1;1;1;1;1;-
"110060 Cacaulândia";-;383;1338;1283;1050;1027;3930;1557;1335;1431;295;1297;672;36;605;4554;83;4;-;-;-;-;-;-;-;-;-;-;-;14165;265;238;118;1222;37;-;36;15;-;96;-;545;10;-;-;-;-;-;-;-;-;-;-;-
"110004 Cacoal";19283;475;1747;2101;2150;3215;12326;7182;6805;10041;5494;17215;13340;789;5098;17382;678;62;47462;2655;6757;4454;8951;6698;212;403;214;-;267;55735;1841;6328;3855;5070;1208;117;7;2532;43655;1026;2311;3023;56;3626;1;12;2;2;-;1;-;11;23;14
"110070 Campo Novo de Rondônia";123;361;565;639;654;1104;3196;1665;1465;1661;1325;1638;1118;195;1690;6399;47;7;5226;746;251;198;2407;527;271;240;20;-;12;16102;299;3745;657;6428;282;240;238;1028;1209;168;48;855;18;193;-;-;-;-;-;-;-;-;-;-
"110080 Candeias do Jamari";9190;502;1906;1660;1779;2468;10375;3243;3462;4271;981;5474;3081;418;4141;10328;125;169;4255;996;482;1177;138;838;31;934;66;-;168;34708;396454;6302;1619;10184;815;306;741;2303;264;214;5549;5258;1402;1495;-;2;-;-;-;-;-;10;1;-
"110090 Castanheiras";-;1957;2685;2963;3257;4227;5776;5414;5813;5165;715;957;644;527;1451;9179;13;6;145;-;1;716;10957;324;102;41;11;-;-;4361;5252;4360;2898;8558;1228;1826;207;2;-;340;1022;1612;231;7284;-;-;-;-;-;-;-;-;-;-
"110005 Cerejeiras";12;921;2258;2384;2121;3088;10792;6191;4884;6434;300;3936;1615;53;1098;6380;419;81;2532;16;19;611;1922;-;9;4;-;-;-;16366;9414;2671;345;189;149;196;-;-;-;51;13;99;-;-;-;-;-;-;-;-;-;-;-;-
"110092 Chupinguaia";36;338;696;772;848;761;2223;1267;1116;1276;786;949;567;87;617;3616;134;17;3097;358;419;300;841;194;131;85;89;-;228;6804;3270;5625;4208;12421;364;199;334;252;312;152;2250;2709;209;10922;-;10;5;4;3;1;-;24;-;2
"110006 Colorado do Oeste";-;1357;3037;3472;3278;4414;11113;6345;6152;7824;2285;4174;2105;1169;3168;10700;1362;188;14552;1763;1122;2341;8640;1095;32;229;-;132;1870;32016;45738;2221;1694;3596;799;157;170;17659;81524;179;1294;1890;81;1725;3;-;-;-;-;-;-;1;4;5
"110007 Corumbiara";-;1035;2165;2080;1887;2621;10183;3870;3129;3442;110;1493;696;60;3508;485816;87;7;179;-;23;468;1315;220;333;105;-;520;-;64430;13410;3830;2237;13594;1249;287;143;26;826;60;25;92;14;40;-;-;-;-;-;-;-;-;-;-
"110008 Costa Marques";114;367;767;614;603;708;2126;769;573;514;8284;1933;584;73;240;1014;91;38;-;-;113;470;1516;-;27;79;2;-;-;2917;-;2075;382;4605;250;3;250;37;-;43;3778;1995;-;2665;-;-;-;-;-;-;-;-;-;-
