MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: JUN/2016, MAI/2016, ABR/2016, MAR/2016, FEV/2016, JAN/2016."
Tipo de Produção: Visita Domiciliar.
Tipo de Equipe: Eq. Ag. Com. de Saúde - EACS.
"Categoria Profissional: Agente comunitário de saúde, Agente de combate a endemias, Agente de saúde, Assistente Social, Cirurgião dentista, Educador social, Enfermeiro, Farmacêutico, Fisioterapeuta, Fonoaudiólogo, Médico, Médico veterinário, Nutricionista, Outros prof. de nível médio, Outros prof. de nível superior, Profissional de educação física, Psicólogo, Sanitarista, Técnico e auxiliar de enfermagem, Técnico e auxiliar de saúde bucal, Terapeuta ocupacional, Naturólogo, Musicoterapeuta, Arteterapeuta."


Uf;Ibge;Municipio;Agente comunitário de saúde;Agente de combate a endemias;Agente de saúde;Assistente Social;Cirurgião dentista;Educador social;Enfermeiro;Farmacêutico;Fisioterapeuta;Fonoaudiólogo;Médico;Médico veterinário;Nutricionista;Outros prof. de nível médio;Outros prof. de nível superior;Profissional de educação físic;Psicólogo;Sanitarista;Técnico e auxiliar de enfermag;Técnico e auxiliar de saúde bu;Terapeuta ocupacional;Naturólogo;Musicoterapeuta;Arteterapeuta;
RJ;330610;VALENÇA;3.871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MA;210005;AÇAILÂNDIA;10.719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MA;210360;COROATÁ;8.304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150390;JURUTI;31.322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
BA;292400;PAULO AFONSO;10.056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150610;PRIMAVERA;1.771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PE;261050;PASSIRA;7.946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
BA;292205;MULUNGU DO MORRO;19.778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MA;210047;ALTO ALEGRE DO PINDARÉ;21.148;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150293;DOM ELISEU;7.101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150307;GARRAFÃO DO NORTE;6.885;1.662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
AM;130008;ANAMÃ;6.496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150460;MOCAJUBA;1.497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MT;510125;ARAPUTANGA;2.438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
